threshold,method,embedding_comparison,embedding_method,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
1.0,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,2.926862955093384,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,1.9487559795379639,-1.0,-1.0,-1.0,-1.0
0.8,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,1.8922028541564941,-1.0,-1.0,-1.0,-1.0
0.7,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,1.9053280353546143,-1.0,-1.0,-1.0,-1.0
0.6,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,1.900343656539917,-1.0,-1.0,-1.0,-1.0
0.5,threshold,RECORD_WISE,FIELD_SERIALIZED,0.6666666666666666,0.04,0.07547169811320754,4,96,2,1.950622797012329,0.2643023861299076,0.1569494242086928,0.11251071459310018,0.08611055351506451
0.4,threshold,RECORD_WISE,FIELD_SERIALIZED,0.38235294117647056,0.39,0.38613861386138615,39,61,63,1.963639736175537,0.6338199145910905,0.5645257624461238,-1.0,0.5107231551096681
0.3,threshold,RECORD_WISE,FIELD_SERIALIZED,0.07671232876712329,0.84,0.14058577405857742,84,16,1011,1.939039945602417,-1.0,-1.0,0.9327766986700214,-1.0
0.2,threshold,RECORD_WISE,FIELD_SERIALIZED,0.021417862497322766,1.0,0.04193751310547285,100,0,4569,1.9413061141967773,1.0,1.0,1.0,1.0
1.0,threshold,RECORD_WISE,FULL_SERIALIZED,0.0,0.0,0.0,0,100,0,1.7009398937225342,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FULL_SERIALIZED,0.7741935483870968,0.24,0.366412213740458,24,76,7,1.6708550453186035,0.4766712175867233,-1.0,0.3346257071686906,0.3046356646244104
0.8,threshold,RECORD_WISE,FULL_SERIALIZED,0.38073394495412843,0.83,0.5220125786163522,83,17,135,1.6606075763702393,0.900360810776902,0.8809662898016282,0.8700356792579814,0.8637390692435486
0.7,threshold,RECORD_WISE,FULL_SERIALIZED,0.17307692307692307,0.99,0.29464285714285715,99,1,473,1.672555923461914,0.9938636363636364,0.9926810745376682,0.9922769433372531,0.9922165301403397
0.6,threshold,RECORD_WISE,FULL_SERIALIZED,0.05104645227156713,1.0,0.09713453132588634,100,0,1859,1.7101774215698242,1.0,1.0,1.0,1.0
