threshold,method,embedding_comparison,embedding_method,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
1.0,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,0.7846417427062988,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,0.5177230834960938,-1.0,-1.0,-1.0,-1.0
0.8,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,0.558189868927002,-1.0,-1.0,-1.0,-1.0
0.7,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,0.4593691825866699,-1.0,-1.0,-1.0,-1.0
0.6,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,0.53167724609375,-1.0,-1.0,-1.0,-1.0
0.5,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,0.5195732116699219,-1.0,-1.0,-1.0,-1.0
0.4,threshold,RECORD_WISE,FIELD_SERIALIZED,1.0,0.007575757575757576,0.015037593984962407,1,131,0,0.4792952537536621,0.3514031709403937,0.21581075889729684,0.1578525580478552,0.11814992166398379
0.3,threshold,RECORD_WISE,FIELD_SERIALIZED,0.6911764705882353,0.7121212121212122,0.7014925373134329,94,38,42,0.5417263507843018,0.8834051653235703,0.851309359496104,0.8323914003751671,0.817655528153006
0.2,threshold,RECORD_WISE,FIELD_SERIALIZED,0.011892963330029732,1.0,0.023506366307541625,132,0,10967,0.5410966873168945,1.0,1.0,1.0,1.0
1.0,threshold,RECORD_WISE,FULL_SERIALIZED,0.0,0.0,0.0,0,132,0,0.6131947040557861,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FULL_SERIALIZED,0.6089108910891089,0.9318181818181818,0.7365269461077845,123,9,79,0.8927862644195557,0.9810238923329399,0.9757068649320446,0.9722087403865074,0.969507498132267
0.8,threshold,RECORD_WISE,FULL_SERIALIZED,0.010416666666666666,1.0,0.020618556701030924,132,0,12540,0.6615438461303711,1.0,1.0,1.0,1.0
1.0,threshold,COLUMN_WISE,,0.0,0.0,0.0,0,132,0,1.2620301246643066,-1.0,-1.0,-1.0,-1.0
0.9,threshold,COLUMN_WISE,,0.875,0.4772727272727273,0.6176470588235294,63,69,9,0.9830279350280762,0.7686950108051831,0.7098533243504208,0.672418677711909,0.6431164743863396
0.8,threshold,COLUMN_WISE,,0.8187919463087249,0.9242424242424242,0.8683274021352313,122,10,27,1.3002638816833496,0.9727852759695061,0.9642686631129636,0.9588600374097642,0.9546070199021296
0.7,threshold,COLUMN_WISE,,0.7021276595744681,1.0,0.825,132,0,56,1.3543078899383545,1.0,1.0,1.0,1.0
,zero-shot-prompting,RECORD_WISE,,0.8382352941176471,0.4318181818181818,0.5700000000000001,57,75,11,443.7539806365967,0.7563796798197621,0.6897606920823042,0.6477743157741891,0.6142845891674908
1.0,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,2.3447282314300537,-1.0,-1.0,-1.0,-1.0
0.9,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,0.5527560710906982,-1.0,-1.0,-1.0,-1.0
0.8,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,0.5191841125488281,-1.0,-1.0,-1.0,-1.0
0.7,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,0.5347106456756592,-1.0,-1.0,-1.0,-1.0
