threshold,method,embedding_comparison,embedding_method,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
1.0,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,2.838552236557007,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.536982774734497,-1.0,-1.0,-1.0,-1.0
0.8,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.5453095436096191,-1.0,-1.0,-1.0,-1.0
0.7,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.5654191970825195,-1.0,-1.0,-1.0,-1.0
0.6,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.5493996143341064,-1.0,-1.0,-1.0,-1.0
0.5,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.5524201393127441,-1.0,-1.0,-1.0,-1.0
0.4,threshold,RECORD_WISE,FIELD_SERIALIZED,1.0,0.007575757575757576,0.015037593984962407,1,131,0,1.5258440971374512,0.35140317094039375,0.21581075889729687,0.15785255804785517,0.11814992166398376
0.3,threshold,RECORD_WISE,FIELD_SERIALIZED,0.6911764705882353,0.7121212121212122,0.7014925373134329,94,38,42,1.5658714771270752,0.8834051653235703,0.851309359496104,0.8323914003751672,0.817655528153006
0.2,threshold,RECORD_WISE,FIELD_SERIALIZED,0.011892963330029732,1.0,0.023506366307541625,132,0,10967,1.6576459407806396,1.0,1.0,1.0,1.0
1.0,threshold,RECORD_WISE,FULL_SERIALIZED,0.0,0.0,0.0,0,132,0,1.8315277099609375,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FULL_SERIALIZED,0.6089108910891089,0.9318181818181818,0.7365269461077845,123,9,79,1.8085834980010986,0.9810238923329399,0.9757068649320446,0.9722087403865072,0.9695074981322671
0.8,threshold,RECORD_WISE,FULL_SERIALIZED,0.010416666666666666,1.0,0.020618556701030924,132,0,12540,1.9370427131652832,1.0,1.0,1.0,1.0
1.0,threshold,COLUMN_WISE,,0.0,0.0,0.0,0,132,0,1.9834699630737305,-1.0,-1.0,-1.0,-1.0
0.9,threshold,COLUMN_WISE,,0.875,0.4772727272727273,0.6176470588235294,63,69,9,2.2370760440826416,0.7686950108051831,0.7098533243504207,0.672418677711909,0.6431164743863396
0.8,threshold,COLUMN_WISE,,0.8187919463087249,0.9242424242424242,0.8683274021352313,122,10,27,2.508479356765747,0.9727852759695061,0.9642686631129636,0.9588600374097641,0.9546070199021296
0.7,threshold,COLUMN_WISE,,0.7021276595744681,1.0,0.825,132,0,56,2.8525376319885254,1.0,1.0,1.0,1.0
,zero-shot-prompting,RECORD_WISE,,0.775,0.7045454545454546,0.7380952380952381,93,39,27,749.7513189315796,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
1.0,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.597989559173584,-1.0,-1.0,-1.0,-1.0
0.9,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.5646398067474365,-1.0,-1.0,-1.0,-1.0
0.8,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.5568945407867432,-1.0,-1.0,-1.0,-1.0
0.7,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.5516815185546875,-1.0,-1.0,-1.0,-1.0
0.6,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.5523903369903564,-1.0,-1.0,-1.0,-1.0
0.5,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,132,0,1.5467793941497803,-1.0,-1.0,-1.0,-1.0
