,method,threshold,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
0,threshold,0.1,0.14326241134751774,1.0,0.2506203473945409,101,0,604,1.637721129826137,1.0,1.0,1.0,1.0
1,threshold,0.2,0.15823817292006526,0.9603960396039604,0.2717086834733894,97,4,516,1.4743121010916573,0.9993632662446573,0.9993580592536639,0.9993527364745091,0.9993472934779776
2,threshold,0.3,0.16847826086956522,0.9207920792079208,0.28483920367534454,93,8,459,1.469728946685791,0.998727027505576,0.998716625873822,0.9987059932248499,0.9986951207364958
3,threshold,0.4,0.25227963525835867,0.8217821782178217,0.386046511627907,83,18,246,1.4471156256539481,0.9970651104922862,0.997040515757068,0.9970153602709028,0.9969896220292297
4,threshold,0.5,0.5217391304347826,0.2376237623762376,0.32653061224489793,24,77,22,1.4641989639827184,0.9816837140648994,0.9756622882922227,0.9703621499394727,0.9653761908947035
5,threshold,0.6,0.0,0.0,0.0,0,101,0,1.479952607836042,-1.0,-1.0,-1.0,-1.0
6,zero-few-shot,,0.8888888888888888,0.4752475247524752,0.6193548387096773,48,53,6,5.207930667059762,0.9879731750523428,0.9813814906135467,0.9757222495519647,0.9708866894452064
7,both,0.1,0.8888888888888888,0.4752475247524752,0.6193548387096773,48,53,6,6.405073744910104,0.9879731750523428,0.9813814906135467,0.9757222495519647,0.9708866894452064
8,both,0.2,0.8823529411764706,0.44554455445544555,0.5921052631578948,45,56,6,5.720530850546701,0.9873431961077198,0.9807422815862238,0.9750777073243965,0.970236676818667
9,both,0.3,0.8775510204081632,0.42574257425742573,0.5733333333333334,43,58,6,5.300843954086304,0.9870184808250877,0.9804228530840863,0.9747556453620098,0.9699119223152342
10,both,0.4,0.8723404255319149,0.40594059405940597,0.5540540540540542,41,60,6,3.763821159090315,0.9863583403592326,0.979766127113667,0.9740897591439599,0.9691544099897504
11,both,0.5,0.8,0.1188118811881188,0.20689655172413793,12,89,3,1.828690665108817,0.9746886978636816,0.9651804501723321,0.9560491509669677,0.9465927583408152
12,both,0.6,0.0,0.0,0.0,0,101,0,1.4659667355673653,-1.0,-1.0,-1.0,-1.0
