,method,threshold,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
0,zero-few-shot,,0.6054421768707483,0.89,0.7206477732793523,89,11,58,8.528008091449738,0.9302808283053906,0.9192446893403123,0.9092143138822117,0.9025442245618462
1,both,0.1,0.6691729323308271,0.89,0.7639484978540773,89,11,44,8.658860986232758,0.9292573731379947,0.9160110482548989,0.904630754145719,0.8983319714837583
2,both,0.2,0.7586206896551724,0.88,0.8148148148148148,88,12,28,6.55321839094162,0.9209965035727774,0.9058148923821042,0.8933105542208191,0.8871216390897979
3,both,0.3,0.8712871287128713,0.88,0.8756218905472637,88,12,13,4.080330541133881,0.918774281350555,0.9032917791885473,0.8910527591824834,0.8861904883742235
4,both,0.4,0.9052631578947369,0.86,0.8820512820512821,86,14,9,2.5160153245925905,0.9065894074009752,0.8901699960482432,0.8769028094083725,0.8702132260688683
5,both,0.5,0.9240506329113924,0.73,0.8156424581005587,73,27,6,1.833169424533844,0.8197861385806519,0.7915285584973837,0.7664957068031728,0.7524808381166683
6,both,0.6,0.9464285714285714,0.53,0.6794871794871796,53,47,3,1.5224233722686769,0.6764969713016236,0.620094613611231,0.578440662194588,0.5634142811618053
7,both,0.7,1.0,0.25,0.4,25,75,0,1.348335840702057,0.44623117573438853,0.36103349963525116,0.30228917380894005,0.2826274959827652
8,both,0.8,1.0,0.06,0.11320754716981131,6,94,0,1.3105443215370178,0.2066302526156567,0.12868856912628257,0.09888891059397066,0.08581944869011236
9,both,0.9,1.0,0.01,0.019801980198019802,1,99,0,1.297444076538086,0.08890353067353046,0.04052128979677947,0.029909576090460185,0.02647244606907766
10,both,1.0,0.0,0.0,0.0,0,100,0,1.2963753080368041,-1.0,-1.0,-1.0,-1.0
