,method,threshold,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
0,threshold,0.1,0.15656565656565657,0.93,0.2680115273775216,93,7,501,1.3847120523452758,0.9875436507936509,0.9861592225850961,0.9842642151964388,0.9821196784399518
1,threshold,0.2,0.4088669950738916,0.83,0.5478547854785478,83,17,120,1.2730984210968017,0.9084038875553673,0.892724995949001,0.8779210646217109,0.8629786186037698
2,threshold,0.3,0.628099173553719,0.76,0.6877828054298643,76,24,45,1.269489550590515,0.8392220795693174,0.8194426934741027,0.8000858086655377,0.7848124558231335
3,threshold,0.4,0.6923076923076923,0.54,0.6067415730337079,54,46,24,1.2713787317276002,0.7015658238336236,0.67140508546405,0.6384184078234826,0.6115313572185407
4,threshold,0.5,0.65,0.13,0.21666666666666667,13,87,7,1.2694222688674928,0.3787403756826794,0.30603835251745276,0.26572430936114694,0.24215378789163325
5,threshold,0.6,0.0,0.0,0.0,0,100,1,1.2732458591461182,0.1234973326917607,0.061671751013624806,0.04576829939788976,0.03506440542239175
6,zero-few-shot,,0.8703703703703703,0.47,0.6103896103896103,47,53,7,4.759536957740783,0.6589688805735796,0.6148851375787254,0.5641537222268495,0.5339606672886006
7,both,0.1,0.8703703703703703,0.47,0.6103896103896103,47,53,7,3.9952590465545654,0.6589688805735796,0.6148851375787254,0.5641537222268495,0.5339606672886006
8,both,0.2,0.8679245283018868,0.46,0.6013071895424837,46,54,7,2.206443428993225,0.6513178002448307,0.6068503591481739,0.5554529293283792,0.5245599704366544
9,both,0.3,0.875,0.42,0.5675675675675675,42,58,6,1.8308301210403441,0.6251999995214534,0.5773507607515426,0.5241592502426681,0.48974473088557136
10,both,0.4,0.84375,0.27,0.4090909090909091,27,73,5,1.637041735649109,0.5083016638711072,0.44330957870583326,0.37765723541483043,0.3374803968700799
11,both,0.5,0.875,0.07,0.12962962962962962,7,93,1,1.3704113960266113,0.30788253903407414,0.2222134586909036,0.16887479248554085,0.137042833110923
12,both,0.6,0.0,0.0,0.0,0,100,0,1.2794562816619872,-1.0,-1.0,-1.0,-1.0
13,both,0.7,0.0,0.0,0.0,0,100,0,1.275630807876587,-1.0,-1.0,-1.0,-1.0
14,both,0.8,0.0,0.0,0.0,0,100,0,1.271107029914856,-1.0,-1.0,-1.0,-1.0
15,both,0.9,0.0,0.0,0.0,0,100,0,1.2739792823791505,-1.0,-1.0,-1.0,-1.0
16,both,1.0,0.0,0.0,0.0,0,100,0,1.2795616149902345,-1.0,-1.0,-1.0,-1.0
