cluster,serialization,dimension,drop_na,rand_score,adjusted_rand_score,fowlkes_mallows_score,mutual_info_score,adjusted_mutual_info_score,normalized_mutual_info_score,homogeneity_score,completeness_score,v_measure_score,homogeneity_completeness_v_measure,runtime
KMeans,FIELD_SERIALIZED,None,True,0.9999872900474717,0.7227659245977957,0.7229140250771396,7.937553312348752,0.7368750999770375,0.9984690170737032,0.9984286289107432,0.9985094085043371,0.9984690170737031,"(0.9984286289107432, 0.9985094085043371, 0.9984690170737031)",110.52539372444153
KMeans,FIELD_SERIALIZED,2,True,0.9999505219705147,-2.4531393179505998e-05,0.0,7.901015772691505,-2.630696922607209e-05,0.9940262486954126,0.9938327384406908,0.9942198343219951,0.9940262486954127,"(0.9938327384406908, 0.9942198343219951, 0.9940262486954127)",53.86046099662781
KMeans,FIELD_SERIALIZED,10,True,0.9999471175189446,0.008484851851779879,0.008618128166583652,7.89916162651024,0.009569934101048368,0.9939381003901302,0.9935995138490926,0.9942769177684889,0.9939381003901302,"(0.9935995138490926, 0.9942769177684889, 0.9939381003901302)",54.43784475326538
KMeans,FIELD_SERIALIZED,50,True,0.9999491601898867,0.017518879204225565,0.017697729106729964,7.900310824030319,0.019306094576839853,0.9940400330705291,0.9937440661637883,0.9943361763255057,0.994040033070529,"(0.9937440661637883, 0.9943361763255057, 0.994040033070529)",56.84616422653198
KMeans,FIELD_SERIALIZED,100,True,0.9999437130673745,0.007973073401744864,0.008178881746865275,7.8976659853316225,0.009421876072876223,0.9938434240793405,0.9934113839666784,0.9942758401487835,0.9938434240793402,"(0.9934113839666784, 0.9942758401487835, 0.9938434240793402)",60.25933337211609
KMeans,FIELD_SERIALIZED,None,False,0.9997994145795662,0.1447399509695958,0.15006528348629633,8.277970200539661,0.22586731015262976,0.9225084736717212,0.915526011592493,0.9295982608796436,0.9225084736717212,"(0.915526011592493, 0.9295982608796436, 0.9225084736717212)",2245.801964044571
KMeans,FIELD_SERIALIZED,2,False,0.9998096231397583,0.00046501468502420455,0.0005617523219252945,8.178190410836496,0.0007021253495185986,0.9062101563376737,0.9044905777009188,0.9079362858066796,0.9062101563376738,"(0.9044905777009188, 0.9079362858066796, 0.9062101563376738)",305.47615790367126
KMeans,FIELD_SERIALIZED,10,False,0.9997296809491937,0.003652624300078057,0.004044117740475428,8.025854447408626,0.007030617062478658,0.8972012598441956,0.8876425420544357,0.9069680878012525,0.8972012598441956,"(0.8876425420544357, 0.9069680878012525, 0.8972012598441956)",292.95327377319336
KMeans,FIELD_SERIALIZED,50,False,0.9997461126817784,0.003690991858100789,0.004016872246075841,8.044860861910692,0.0067940100152505374,0.8983563423793132,0.8897446113349721,0.9071364065167417,0.8983563423793132,"(0.8897446113349721, 0.9071364065167417, 0.8983563423793132)",329.3384654521942
KMeans,FIELD_SERIALIZED,100,False,0.9997443011418695,0.0033327104396177476,0.0036450914076152615,8.042000224136771,0.006256343050562858,0.898156117110256,0.8894282308421312,0.9070569929750778,0.8981561171102561,"(0.8894282308421312, 0.9070569929750778, 0.8981561171102561)",358.28996777534485
KMeans,FULL_SERIALIZED,None,True,0.9999877439743476,0.7476574574975191,0.7497620761540443,7.93875452941529,0.7861544081223648,0.9987317141741789,0.9985797245269329,0.9988837500958865,0.9987317141741788,"(0.9985797245269329, 0.9988837500958865, 0.9987317141741788)",54.625998735427856
KMeans,FULL_SERIALIZED,2,True,0.9999523376780187,-2.3753909189524985e-05,0.0,7.902272747590592,-2.486840820058372e-05,0.9941057847134169,0.9939908475803318,0.9942207484303932,0.9941057847134169,"(0.9939908475803318, 0.9942207484303932, 0.9941057847134169)",45.46739840507507
KMeans,FULL_SERIALIZED,10,True,0.9999409895061184,0.015123853205574708,0.01564841756043401,7.895870491438869,0.018450334820144798,0.9937589418790606,0.993185536978946,0.9943330092598538,0.9937589418790606,"(0.993185536978946, 0.9943330092598538, 0.9937589418790606)",46.52751684188843
KMeans,FULL_SERIALIZED,50,True,0.9999339536395403,0.052088402676638994,0.05574946733380606,7.894942676128357,0.07126550103177183,0.9938754160816627,0.9930688313226935,0.9946833121451297,0.9938754160816627,"(0.9930688313226935, 0.9946833121451297, 0.9938754160816627)",48.954715728759766
KMeans,FULL_SERIALIZED,100,True,0.9999437130673745,0.060579675365317415,0.06259367024173604,7.899681209657608,0.07464976482358446,0.9941754146460503,0.9936648698434424,0.9946864843539805,0.9941754146460503,"(0.9936648698434424, 0.9946864843539805, 0.9941754146460503)",50.59166502952576
KMeans,FULL_SERIALIZED,None,False,0.9999672963765872,0.8193905275310946,0.8201932596015593,8.930038163160582,0.8755396018158108,0.9884639598925794,0.9876433503413876,0.9892859342279572,0.9884639598925795,"(0.9876433503413876, 0.9892859342279572, 0.9884639598925795)",623.0840580463409
KMeans,FULL_SERIALIZED,2,False,0.9998473724346231,0.15029748845678173,0.15047160490214606,8.358381321562877,0.1818465942855613,0.9246681825991336,0.924419311656954,0.924917187578809,0.9246681825991335,"(0.924419311656954, 0.924917187578809, 0.9246681825991335)",270.90687918663025
KMeans,FULL_SERIALIZED,10,False,0.9998636922779781,0.42161984326588114,0.4373580456300577,8.556577075339515,0.5378057626894273,0.9536723253466289,0.9463393432074256,0.9611198383969813,0.953672325346629,"(0.9463393432074256, 0.9611198383969813, 0.953672325346629)",275.2334680557251
KMeans,FULL_SERIALIZED,50,False,0.9998735758265983,0.43902107002161744,0.45136536209493494,8.572640591538608,0.5425520723731762,0.9546012344333352,0.9481159341544368,0.9611758672343382,0.9546012344333353,"(0.9481159341544368, 0.9611758672343382, 0.9546012344333353)",318.7191698551178
KMeans,FULL_SERIALIZED,100,False,0.9998723077486622,0.4326432332993688,0.44469909838394683,8.566704305848763,0.5355742798315,0.9539196921380376,0.9474593935013981,0.9604686953413493,0.9539196921380374,"(0.9474593935013981, 0.9604686953413493, 0.9539196921380374)",347.73340010643005
DBSCAN,FIELD_SERIALIZED,None,True,0.9999775306196375,0.0,0.0,7.950045784452708,-2.7988202554723003e-08,0.9971193644382403,1.0,0.9942552773288995,0.9971193644382403,"(1.0, 0.9942552773288995, 0.9971193644382403)",39.07782745361328
DBSCAN,FIELD_SERIALIZED,2,True,0.9722090079064983,0.0003469658669101768,0.006894615191298307,4.173521434697957,0.005179924106826752,0.686530664803872,0.5249682263289339,0.9917475105468373,0.686530664803872,"(0.5249682263289339, 0.9917475105468373, 0.686530664803872)",51.73187613487244
DBSCAN,FIELD_SERIALIZED,10,True,0.9986123455400323,0.004838811796534633,0.01938989731544759,7.2531591529405945,0.01851525176042511,0.9517247787686973,0.9123418090402748,0.994661222578103,0.9517247787686974,"(0.9123418090402748, 0.994661222578103, 0.9517247787686974)",52.43357181549072
DBSCAN,FIELD_SERIALIZED,50,True,0.9990930541017287,0.006914720431063362,0.022459009965066366,7.37993587434771,0.020869887803650136,0.9603427268209621,0.9282884746123201,0.9946898508235411,0.9603427268209621,"(0.9282884746123201, 0.9946898508235411, 0.9603427268209621)",53.17641019821167
DBSCAN,FIELD_SERIALIZED,100,True,0.999337947651337,0.010136855032518616,0.028249038419098045,7.453332967471132,0.0253787196638375,0.9653132415817672,0.9375207602007829,0.994803860833797,0.9653132415817673,"(0.9375207602007829, 0.994803860833797, 0.9653132415817673)",52.95021939277649
DBSCAN,FIELD_SERIALIZED,None,False,0.9999134563448853,0.0008610930005805606,0.020754980866510835,9.04176407412031,0.0012060816849174664,0.9561426619562456,0.9999999999999996,0.9159706284654852,0.9561426619562456,"(0.9999999999999996, 0.9159706284654852, 0.9561426619562456)",268.7907073497772
DBSCAN,FIELD_SERIALIZED,2,False,0.9330327828782838,-3.818446852587077e-05,0.0018752610007536298,2.6712011878001825,-0.005547802663899169,0.4278043865559453,0.2954292067236965,0.7751167693471397,0.4278043865559453,"(0.2954292067236965, 0.7751167693471397, 0.4278043865559453)",265.2738924026489
DBSCAN,FIELD_SERIALIZED,10,False,0.9942242886209319,0.000176200479341946,0.0014269746695498781,5.954758816634689,0.0033070391264419094,0.7531259693881632,0.6585837418251853,0.8793617250569988,0.7531259693881631,"(0.6585837418251853, 0.8793617250569988, 0.7531259693881631)",265.2611041069031
DBSCAN,FIELD_SERIALIZED,50,False,0.9947914657822089,0.00018356149484793842,0.0013839103808655088,6.144909600426922,0.0032687695692409625,0.7678912030715832,0.6796140166956047,0.8825251500445538,0.7678912030715832,"(0.6796140166956047, 0.8825251500445538, 0.7678912030715832)",270.6210491657257
DBSCAN,FIELD_SERIALIZED,100,False,0.9955359394199742,0.00022871936935967528,0.0014450203309810275,6.225442558998185,0.0035796097213242157,0.7740397488153117,0.6885207917354188,0.8838156537176286,0.7740397488153117,"(0.6885207917354188, 0.8838156537176286, 0.7740397488153117)",274.1919410228729
DBSCAN,FULL_SERIALIZED,None,True,0.9999811620346455,0.2782563569718429,0.40201512610368484,7.9500457844527075,0.27977089827383167,0.9975867372378017,0.9999999999999999,0.9951850941086944,0.9975867372378016,"(0.9999999999999999, 0.9951850941086944, 0.9975867372378016)",36.56540274620056
DBSCAN,FULL_SERIALIZED,2,True,0.8654889836486461,0.00022497755620687652,0.010443571977018553,3.5843631484570855,0.0140416404973395,0.621045884221583,0.4508606925845318,0.9976117493037268,0.621045884221583,"(0.4508606925845318, 0.9976117493037268, 0.621045884221583)",43.75311636924744
DBSCAN,FULL_SERIALIZED,10,True,0.9981672702381028,0.01243016962611369,0.05702964318773384,7.159043311753095,0.05514491726189454,0.9462617958452618,0.9005034066286114,0.9969194945426326,0.9462617958452618,"(0.9005034066286114, 0.9969194945426326, 0.9462617958452618)",44.07104229927063
DBSCAN,FULL_SERIALIZED,50,True,0.998522241055144,0.01418800554008786,0.058562988536831825,7.287593331479869,0.05992124356958533,0.9550217222206945,0.9166731273084808,0.9967189990323626,0.9550217222206945,"(0.9166731273084808, 0.9967189990323626, 0.9550217222206945)",45.726033210754395
DBSCAN,FULL_SERIALIZED,100,True,0.9987762131422725,0.018164975897916633,0.06842852786139846,7.307447167810119,0.06544162349641731,0.9564670412462272,0.9191704508294444,0.9969183587031477,0.9564670412462272,"(0.9191704508294444, 0.9969183587031477, 0.9564670412462272)",46.05804681777954
DBSCAN,FULL_SERIALIZED,None,False,0.9999136055305248,0.004664718769860029,0.04655485577920836,9.041549422090203,0.0065281435628932105,0.9562429617492978,0.9999762599390615,0.9161746704681298,0.9562429617492978,"(0.9999762599390615, 0.9161746704681298, 0.9562429617492978)",241.1450641155243
DBSCAN,FULL_SERIALIZED,2,False,0.6334617954891324,0.0002749628346233918,0.01458076107430403,2.166760046459332,0.11363944170062465,0.38524164446968057,0.2396390824508589,0.9817351150215687,0.3852416444696805,"(0.2396390824508589, 0.9817351150215687, 0.3852416444696805)",242.3222200870514
DBSCAN,FULL_SERIALIZED,10,False,0.9972095572050337,0.04135354932494886,0.12219670107939305,7.802869035187157,0.43313652858797425,0.9125982387288467,0.8629808266642158,0.9682692488181768,0.9125982387288466,"(0.8629808266642158, 0.9682692488181768, 0.9125982387288466)",245.45143389701843
DBSCAN,FULL_SERIALIZED,50,False,0.9978780154313895,0.05198700452933587,0.13521808929346713,7.897920077303362,0.4391855159765004,0.9176973664854329,0.873493271065222,0.9666139364182873,0.917697366485433,"(0.873493271065222, 0.9666139364182873, 0.917697366485433)",246.78162789344788
DBSCAN,FULL_SERIALIZED,100,False,0.997827334938411,0.050894188928070704,0.1338198234355862,7.911796976277442,0.44120192581307593,0.9185362429225687,0.8750280267677955,0.9665974831876755,0.9185362429225689,"(0.8750280267677955, 0.9665974831876755, 0.9185362429225689)",248.20432353019714
HDBSCAN,FIELD_SERIALIZED,None,True,0.9992133447238717,0.05192791393826211,0.16008995236541204,7.464539035032493,0.1530312687437303,0.9683860835673215,0.9389303203297666,0.9997498539748206,0.9683860835673215,"(0.9389303203297666, 0.9997498539748206, 0.9683860835673215)",134.88724207878113
HDBSCAN,FIELD_SERIALIZED,2,True,0.9991904214166332,0.005532233275780948,0.017017437512781893,6.954558080618518,0.008857656346150173,0.9306327961488553,0.8747821420373466,0.9941014149147303,0.9306327961488553,"(0.8747821420373466, 0.9941014149147303, 0.9306327961488553)",52.187074184417725
HDBSCAN,FIELD_SERIALIZED,10,True,0.997748068768106,0.004969767810254126,0.025287031110460056,6.811949989836112,0.019355147479389535,0.9207666250147596,0.8568441207166023,0.9949955365822871,0.9207666250147596,"(0.8568441207166023, 0.9949955365822871, 0.9207666250147596)",52.685693979263306
HDBSCAN,FIELD_SERIALIZED,50,True,0.9972226484091224,0.004349075702464014,0.02457585804920529,6.704574440112807,0.019143171050616404,0.9129354819067341,0.8433378400441952,0.9950536875559537,0.912935481906734,"(0.8433378400441952, 0.9950536875559537, 0.912935481906734)",53.53713774681091
HDBSCAN,FIELD_SERIALIZED,100,True,0.9991570577912463,0.011665111011044752,0.03655307173872233,7.030016426365133,0.020967715160844957,0.9363539377321679,0.8842737031921495,0.9949527305928529,0.936353937732168,"(0.8842737031921495, 0.9949527305928529, 0.936353937732168)",53.98990488052368
HDBSCAN,FIELD_SERIALIZED,None,False,0.9998937372001718,0.265633749556373,0.2709739055803423,8.741995552074355,0.33148387432528537,0.9507731980003694,0.9668462349173689,0.9352258248344796,0.9507731980003695,"(0.9668462349173689, 0.9352258248344796, 0.9507731980003695)",4059.4382376670837
HDBSCAN,FIELD_SERIALIZED,2,False,0.9998054299576752,0.0014350551739791815,0.0015407307685730827,8.071202244244162,0.0019847209273959584,0.8997480856077013,0.8926579125577794,0.906951791596178,0.8997480856077013,"(0.8926579125577794, 0.906951791596178, 0.8997480856077013)",265.37254452705383
HDBSCAN,FIELD_SERIALIZED,10,False,0.9996423753817054,0.003283994488971422,0.003990767789079239,8.031438421861067,0.008419300803940223,0.8976140104866193,0.8882601178291036,0.9071670035836187,0.8976140104866193,"(0.8882601178291036, 0.9071670035836187, 0.8976140104866193)",265.4655294418335
HDBSCAN,FIELD_SERIALIZED,50,False,0.9994328494790158,0.0029068538852484176,0.0042499503005337565,7.920131871222352,0.011091575158169801,0.8908818926558756,0.8759498485358248,0.9063318492754345,0.8908818926558755,"(0.8759498485358248, 0.9063318492754345, 0.8908818926558755)",278.0364851951599
HDBSCAN,FIELD_SERIALIZED,100,False,0.9984600259076847,0.0007078001477686686,0.0018916304309355794,7.8436371605584885,0.007001986119931266,0.8859571612456083,0.8674896951811483,0.9052280157047323,0.8859571612456085,"(0.8674896951811483, 0.9052280157047323, 0.8859571612456085)",292.09053230285645
HDBSCAN,FULL_SERIALIZED,None,True,0.9979073971015862,0.020980038415771833,0.10307015791448253,7.273113587596261,0.11927288399087452,0.9555327392749134,0.9148517863657752,1.0,0.9555327392749134,"(0.9148517863657752, 1.0, 0.9555327392749134)",54.47232532501221
HDBSCAN,FULL_SERIALIZED,2,True,0.9992339983967303,0.020844990212210073,0.06253053994807224,6.92842765160175,0.030412176275497207,0.9294981173999164,0.8714953145491491,0.9957722321316524,0.9294981173999164,"(0.8714953145491491, 0.9957722321316524, 0.9294981173999164)",43.7470486164093
HDBSCAN,FULL_SERIALIZED,10,True,0.998524283726086,0.02280014168060225,0.09434299234679824,6.887007472046901,0.06140864290595834,0.9276809975443505,0.8662852590755251,0.9984430815938491,0.9276809975443504,"(0.8662852590755251, 0.9984430815938491, 0.9276809975443504)",44.092254877090454
HDBSCAN,FULL_SERIALIZED,50,True,0.9988663176271608,0.0291117279723106,0.10611335429252822,6.959989293882421,0.06477704452973028,0.93289682628148,0.8754653095826863,0.9983925064390855,0.93289682628148,"(0.8754653095826863, 0.9983925064390855, 0.93289682628148)",44.80241131782532
HDBSCAN,FULL_SERIALIZED,100,True,0.998566498925555,0.02375896405903127,0.09695480234538251,6.896083110569066,0.06269989274310553,0.9283652234948787,0.8674268422523055,0.9985126300068671,0.9283652234948786,"(0.8674268422523055, 0.9985126300068671, 0.9283652234948786)",45.44484305381775
HDBSCAN,FULL_SERIALIZED,None,False,0.9999763007955458,0.871507546722749,0.8731580103378349,8.952521018268232,0.918370994159262,0.9923116420069017,0.9901299066066636,0.9945030134781306,0.9923116420069016,"(0.9901299066066636, 0.9945030134781306, 0.9923116420069016)",1014.5089128017426
HDBSCAN,FULL_SERIALIZED,2,False,0.9998358265317335,0.19357111522398596,0.19585254106570824,8.218208461814317,0.22182005474673652,0.9190798182463947,0.9089164895749482,0.9294730059140086,0.9190798182463946,"(0.9089164895749482, 0.9294730059140086, 0.9190798182463946)",246.8035490512848
HDBSCAN,FULL_SERIALIZED,10,False,0.9998930498806182,0.5092503647132791,0.5204102764615952,8.537499640520803,0.5815351825553865,0.9559322594719701,0.9442294192299447,0.9679288317594222,0.9559322594719704,"(0.9442294192299447, 0.9679288317594222, 0.9559322594719704)",253.6937391757965
HDBSCAN,FULL_SERIALIZED,50,False,0.9998921760790151,0.511497910753623,0.5238654601127924,8.538726185647075,0.5871250580828946,0.9563751972954967,0.9443650725290375,0.9686947387647944,0.9563751972954967,"(0.9443650725290375, 0.9686947387647944, 0.9563751972954967)",264.09767985343933
HDBSCAN,FULL_SERIALIZED,100,False,0.999888030849459,0.5013349419763493,0.5150616269040638,8.531187552002773,0.5842471173455005,0.9558957614093953,0.9435313155782363,0.9685885684090594,0.9558957614093953,"(0.9435313155782363, 0.9685885684090594, 0.9558957614093953)",281.1085698604584
