cluster,serialization,dimension,drop_na,adjusted_rand_score,normalized_mutual_info_score,fowlkes_mallows_score
KMeans,FIELD_SERIALIZED,2,True,-2.4531393179505998e-05,0.9940243916923467,0.0
KMeans,FIELD_SERIALIZED,10,True,0.023228762452172664,0.9938931018904221,0.023911404992940522
KMeans,FIELD_SERIALIZED,50,True,0.03289605635723605,0.9940368569902648,0.0335012605086404
KMeans,FIELD_SERIALIZED,100,True,0.030507245985220293,0.9939579099007047,0.03148825485739376
KMeans,FIELD_SERIALIZED,None,True,0.7389102451369347,0.9985753857782258,0.7391404949863534
KMeans,FIELD_SERIALIZED,2,False,0.001035308634552346,0.9064378656949035,0.0011328376915326858
KMeans,FIELD_SERIALIZED,10,False,0.002914061088592513,0.8966928417285542,0.003273256646500345
KMeans,FIELD_SERIALIZED,50,False,0.0032003251951670127,0.8978554257390012,0.0035186516874743325
KMeans,FIELD_SERIALIZED,100,False,0.0037893864915525518,0.8986826736787318,0.00410564982286738
KMeans,FIELD_SERIALIZED,None,False,0.1422541583252007,0.9222967737707368,0.147723088243923
KMeans,FULL_SERIALIZED,2,True,-2.756085893098569e-05,0.9938221109864703,0.0
KMeans,FULL_SERIALIZED,10,True,0.01473204577127165,0.9937275163019804,0.01532668299572343
KMeans,FULL_SERIALIZED,50,True,0.07140159592453649,0.994145555151454,0.07470387248392132
KMeans,FULL_SERIALIZED,100,True,0.09051075938276242,0.9944549190291403,0.09212846639876111
KMeans,FULL_SERIALIZED,None,True,0.7547111056763247,0.9987500218345492,0.7563680370631994
KMeans,FULL_SERIALIZED,2,False,0.15390209649627837,0.9247439743197702,0.15409167339972343
KMeans,FULL_SERIALIZED,10,False,0.42462016537083364,0.9537479482951512,0.43871081354174374
KMeans,FULL_SERIALIZED,50,False,0.44183974863769193,0.9546620529058564,0.45328921479317685
KMeans,FULL_SERIALIZED,100,False,0.43928056165051144,0.9543528482265697,0.45053489765287114
KMeans,FULL_SERIALIZED,None,False,0.8177208995930404,0.9884735437395927,0.8187102514807594
DBSCAN,FIELD_SERIALIZED,2,True,0.00016076962804905103,0.6565192710050302,0.004889054115215978
DBSCAN,FIELD_SERIALIZED,10,True,0.004276257870122506,0.9517533931491164,0.017612947414016113
DBSCAN,FIELD_SERIALIZED,50,True,0.005474834652593021,0.9612817606270778,0.018499891602515212
DBSCAN,FIELD_SERIALIZED,100,True,0.0051461036281029516,0.9563002389065188,0.019334656026882564
DBSCAN,FIELD_SERIALIZED,None,True,0.0,0.9971193644382403,0.0
DBSCAN,FIELD_SERIALIZED,2,False,-6.45726999082863e-05,0.4244311045956481,0.0014990368777767363
DBSCAN,FIELD_SERIALIZED,10,False,0.00016410838783171552,0.7439814273074392,0.0014703391020101891
DBSCAN,FIELD_SERIALIZED,50,False,0.00028961640385466496,0.7703414335934355,0.0017673344373554025
DBSCAN,FIELD_SERIALIZED,100,False,0.0002761793623244787,0.767771493379952,0.0017290964786796073
DBSCAN,FIELD_SERIALIZED,None,False,0.0008610930005805606,0.9561426619562456,0.020754980866510835
DBSCAN,FULL_SERIALIZED,2,True,0.00027300607603154365,0.6224328510070495,0.011405482293920735
DBSCAN,FULL_SERIALIZED,10,True,0.013676659324470817,0.9484393888377555,0.06267511942419624
DBSCAN,FULL_SERIALIZED,50,True,0.015642725669675846,0.9541473379336133,0.06343237021855025
DBSCAN,FULL_SERIALIZED,100,True,0.017306686289606972,0.9558997177783989,0.06997098713829958
DBSCAN,FULL_SERIALIZED,None,True,0.2782563569718429,0.9975867372378017,0.40201512610368484
DBSCAN,FULL_SERIALIZED,2,False,0.0002945619284069862,0.4071903346553901,0.014861438618492843
DBSCAN,FULL_SERIALIZED,10,False,0.046245241572788094,0.913793562283398,0.12856499929559168
DBSCAN,FULL_SERIALIZED,50,False,0.052829305476311025,0.9179391124387679,0.13659432353925358
DBSCAN,FULL_SERIALIZED,100,False,0.05228121163797588,0.9191013873206045,0.13551327273825686
DBSCAN,FULL_SERIALIZED,None,False,0.004664718769860029,0.9562429617492978,0.04655485577920836
HDBSCAN,FIELD_SERIALIZED,2,True,0.00692762164443134,0.9328748459562475,0.0199952744026458
HDBSCAN,FIELD_SERIALIZED,10,True,0.007287510651795684,0.9271057026580594,0.032976099381732266
HDBSCAN,FIELD_SERIALIZED,50,True,0.005653163165870449,0.9238929414622207,0.025884804715589047
HDBSCAN,FIELD_SERIALIZED,100,True,0.0073937529958919,0.9276641746361443,0.02833566903406462
HDBSCAN,FIELD_SERIALIZED,None,True,0.05192791393826211,0.9683860835673215,0.16008995236541204
HDBSCAN,FIELD_SERIALIZED,2,False,0.0016708004432567252,0.9001678242884283,0.001775617797510228
HDBSCAN,FIELD_SERIALIZED,10,False,0.004038618578119086,0.8998895397336668,0.004626072513792373
HDBSCAN,FIELD_SERIALIZED,50,False,0.0006722905719256655,0.8826317569394206,0.0018297411153209856
HDBSCAN,FIELD_SERIALIZED,100,False,0.0030033114562003967,0.8957471448556394,0.003800845448259246
HDBSCAN,FIELD_SERIALIZED,None,False,0.265633749556373,0.9507731980003694,0.2709739055803423
HDBSCAN,FULL_SERIALIZED,2,True,0.025843536625348235,0.9329096294904448,0.07525794130770143
HDBSCAN,FULL_SERIALIZED,10,True,0.029034524405226723,0.9298896337353193,0.10802806025746284
HDBSCAN,FULL_SERIALIZED,50,True,0.02512361554600598,0.9278351031823528,0.10349135227034695
HDBSCAN,FULL_SERIALIZED,100,True,0.024956877947641107,0.9287032831342533,0.10003626231835393
HDBSCAN,FULL_SERIALIZED,None,True,0.020980038415771833,0.9555327392749134,0.10307015791448253
HDBSCAN,FULL_SERIALIZED,2,False,0.1907136598045463,0.9188190400657554,0.19286428952648177
HDBSCAN,FULL_SERIALIZED,10,False,0.5204453748525378,0.956562231167877,0.5305845184758278
HDBSCAN,FULL_SERIALIZED,50,False,0.5181536880148707,0.9566549887859075,0.528531015577852
HDBSCAN,FULL_SERIALIZED,100,False,0.527119186440687,0.9572422943253446,0.5362443961617454
HDBSCAN,FULL_SERIALIZED,None,False,0.871507546722749,0.9923116420069015,0.8731580103378349
