,method,threshold,Precision,Recall,F1 Score,bleu1,bleu2,bleu3,bleu4,Runtime
0,threshold,0.01,0.10675381263616558,0.98,0.1925343811394892,0.9980909090909091,0.9979896122473321,0.9978719262778781,0.9977326571860027,0.4159417629241943
1,threshold,0.02,0.10738255033557047,0.96,0.193158953722334,0.9958505971793201,0.9954864951319502,0.9951630778719928,0.9947552641197736,0.33110885620117186
2,threshold,0.03,0.10983981693363844,0.96,0.19712525667351127,0.9958505971793201,0.9954864951319502,0.9951630778719928,0.9947552641197736,0.3356718301773071
3,threshold,0.04,0.11018957345971564,0.93,0.19703389830508472,0.9921655844155844,0.9916436320544126,0.991004109199491,0.9901868352060816,0.3363892316818237
4,threshold,0.05,0.11481481481481481,0.93,0.2043956043956044,0.9921655844155844,0.9916436320544126,0.991004109199491,0.9901868352060816,0.34853320121765136
5,threshold,0.06,0.11892583120204604,0.93,0.21088435374149658,0.9921655844155844,0.9916436320544126,0.991004109199491,0.9901868352060816,0.3370701313018799
6,threshold,0.07,0.12550607287449392,0.93,0.22116527942925088,0.9921655844155844,0.9916436320544126,0.991004109199491,0.9901868352060816,0.3537137985229492
7,threshold,0.08,0.13237410071942446,0.92,0.23144654088050315,0.9913322510822511,0.9907723413461653,0.9900897121636515,0.9892228552421801,0.35247604846954345
8,threshold,0.09,0.13740458015267176,0.9,0.2384105960264901,0.9866186449874319,0.9857661088408443,0.9847101373677408,0.9833343170867255,0.3673586130142212
9,threshold,0.1,0.1461038961038961,0.9,0.2513966480446927,0.9866186449874319,0.9857661088408443,0.9847101373677408,0.9833343170867255,0.3746285676956177
10,threshold,0.2,0.39,0.78,0.5200000000000001,0.9048744971981375,0.8896128849904242,0.8722066185527999,0.8533754233449994,0.38082983493804934
11,threshold,0.3,0.6052631578947368,0.69,0.6448598130841122,0.8037254109534087,0.7789657588275908,0.7522797754762613,0.7346664405087635,0.3379930019378662
12,threshold,0.4,0.7466666666666667,0.56,0.6400000000000001,0.7055459759285828,0.672738666539556,0.6345097662482369,0.6063735705543454,0.36239233016967776
13,threshold,0.5,0.6451612903225806,0.2,0.30534351145038163,0.48125943559400136,0.4099488982393146,0.3616004982584514,0.33162421874276204,0.3836843252182007
14,threshold,0.6,1.0,0.01,0.019801980198019802,0.14078107292873082,0.06784549570954383,0.05054231645060737,0.037295369118533546,0.3785877227783203
15,threshold,0.7,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.3439875841140747
16,zero-few-shot,,0.7241379310344828,0.42,0.5316455696202531,0.6686946667770143,0.6088971052118335,0.5560174999684565,0.5190346640167757,2.6299542665481566
17,both,0.1,0.8333333333333334,0.45,0.5844155844155844,0.6794564658436427,0.6201113360556711,0.569423208084529,0.5369079675514906,67.67934219837188
18,both,0.2,0.803921568627451,0.41,0.543046357615894,0.6541716633060619,0.6027290750611993,0.5553724229062721,0.5206783911403058,21.86234359741211
19,both,0.3,0.8048780487804879,0.33,0.4680851063829787,0.5877178817609843,0.5244069924925503,0.4701255680455004,0.4320213766466749,13.010152983665467
20,both,0.4,0.9310344827586207,0.27,0.4186046511627907,0.4960495878448114,0.4264709319702338,0.3716630272788912,0.33507127083178195,8.670647740364075
21,both,0.5,0.7222222222222222,0.13,0.22033898305084748,0.4184024319273668,0.334317327567578,0.28064236169840034,0.24135212969021438,3.6956775903701784
22,both,0.6,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.4351715803146362
